arm,seed,dataset,step,p_aligned,acc,logodds,ratio,satisfied,choice_mass
kl10000,0,general,60,0.963904,0.944444,8.33953,26.7038,0.944444,0.151385
kl10000,0,finance,0,0.170412,0.166667,-3.55964,0.205418,0.0555556,0.056294
kl10000,0,finance,5,0.190883,0.222222,-3.31008,0.235915,0.0555556,0.0563711
kl10000,0,finance,10,0.263505,0.222222,-2.28028,0.357783,0.111111,0.0540858
kl10000,0,finance,15,0.310902,0.333333,-1.74868,0.451173,0.166667,0.0503099
kl10000,0,finance,20,0.312034,0.333333,-1.74642,0.453561,0.166667,0.0474958
kl10000,0,finance,25,0.292661,0.277778,-1.9404,0.413749,0.166667,0.0479715
kl10000,0,finance,30,0.281449,0.277778,-2.00814,0.391689,0.111111,0.0478246
kl10000,0,finance,35,0.271488,0.222222,-2.14772,0.372661,0.111111,0.0492509
kl10000,0,finance,40,0.263727,0.222222,-2.21218,0.358191,0.0555556,0.0486894
kl10000,0,finance,45,0.263161,0.222222,-2.20833,0.357149,0.111111,0.0484154
kl10000,0,finance,50,0.261334,0.222222,-2.19951,0.353792,0.111111,0.0478442
kl10000,0,finance,55,0.264958,0.222222,-2.18202,0.360467,0.111111,0.047562
kl10000,0,finance,60,0.26492,0.222222,-2.18153,0.360396,0.111111,0.0481904
kl10000,1,general,0,0.871839,0.888889,5.79631,6.80269,0.777778,0.139124
kl10000,1,general,5,0.959932,1,7.19929,23.9576,0.888889,0.142441
kl10000,1,general,10,0.989859,1,8.7854,97.6091,1,0.148435
kl10000,1,general,15,0.940396,0.944444,8.5365,15.7773,0.944444,0.146731
kl10000,1,general,20,0.945049,0.944444,8.40068,17.198,0.944444,0.143302
kl10000,1,general,25,0.967679,1,8.36668,29.94,0.888889,0.134872
kl10000,1,general,30,0.955796,0.944444,8.28594,21.6225,0.888889,0.133139
kl10000,1,general,35,0.951351,0.944444,8.0874,19.5556,0.888889,0.131206
kl10000,1,general,40,0.96661,1,8.11121,28.9488,0.888889,0.13208
kl10000,1,general,45,0.968922,1,8.11367,31.1772,0.888889,0.134871
kl10000,1,general,50,0.974257,1,8.1847,37.8456,0.944444,0.133548
kl10000,1,general,55,0.976683,1,8.22942,41.887,0.944444,0.133999
kl10000,1,general,60,0.97668,1,8.21604,41.8819,0.944444,0.130885
kl10000,1,finance,0,0.17081,0.166667,-3.45385,0.205997,0.0555556,0.0585445
kl10000,1,finance,5,0.194711,0.222222,-3.13866,0.24179,0.0555556,0.0610701
kl10000,1,finance,10,0.263785,0.222222,-2.15675,0.358298,0.111111,0.0603753
kl10000,1,finance,15,0.311644,0.277778,-1.62728,0.452736,0.222222,0.0570526
kl10000,1,finance,20,0.30926,0.277778,-1.62388,0.447722,0.222222,0.0560965
kl10000,1,finance,25,0.295068,0.277778,-1.76154,0.418577,0.222222,0.0548004
kl10000,1,finance,30,0.292139,0.277778,-1.81511,0.412707,0.222222,0.0539898
kl10000,1,finance,35,0.286877,0.277778,-1.84962,0.402284,0.111111,0.0538047
kl10000,1,finance,40,0.289226,0.277778,-1.82058,0.406918,0.111111,0.0533729
kl10000,1,finance,45,0.288141,0.277778,-1.8339,0.404773,0.111111,0.0538668
kl10000,1,finance,50,0.289176,0.277778,-1.81754,0.406818,0.111111,0.0534632
kl10000,1,finance,55,0.292369,0.277778,-1.80057,0.413166,0.111111,0.0540504
kl10000,1,finance,60,0.290601,0.277778,-1.78609,0.409643,0.111111,0.0523607
kl100000,0,general,0,0.836271,0.833333,5.13708,5.10764,0.777778,0.131114
kl100000,0,general,5,0.928565,0.888889,6.79709,12.9987,0.888889,0.153118
kl100000,0,general,10,0.990127,1,10.1714,100.286,0.944444,0.170578
kl100000,0,general,15,0.957702,0.944444,10.0583,22.6421,0.944444,0.161647
kl100000,0,general,20,0.982996,1,9.9565,57.8112,0.944444,0.157133
kl100000,0,general,25,0.962845,0.944444,9.75902,25.9143,0.944444,0.154601
kl100000,0,general,30,0.974588,1,9.72748,38.3511,0.944444,0.153546
kl100000,0,general,35,0.972396,1,9.73582,35.2263,0.944444,0.155401
kl100000,0,general,40,0.967136,0.944444,9.54827,29.4281,0.944444,0.157846
kl100000,0,general,45,0.980504,1,9.53246,50.2938,0.944444,0.15962
kl100000,0,general,50,0.979715,1,9.52583,48.2982,0.944444,0.15819
kl100000,0,general,55,0.982407,1,9.55365,55.8403,0.944444,0.159151
kl100000,0,general,60,0.98382,1,9.57729,60.8037,0.944444,0.158392
kl100000,0,finance,0,0.187958,0.222222,-3.4023,0.231463,0.0555556,0.0533522
kl100000,0,finance,5,0.23786,0.222222,-2.66861,0.312096,0.0555556,0.0557691
kl100000,0,finance,10,0.552171,0.5,0.842544,1.233,0.388889,0.0700979
kl100000,0,finance,15,0.587727,0.555556,1.3404,1.42558,0.444444,0.0716058
kl100000,0,finance,20,0.592883,0.555556,1.37065,1.4563,0.444444,0.0700472
kl100000,0,finance,25,0.595543,0.555556,1.35004,1.47245,0.388889,0.0685467
kl100000,0,finance,30,0.595625,0.555556,1.29666,1.47295,0.388889,0.0655993
kl100000,0,finance,35,0.591349,0.555556,1.22946,1.44708,0.388889,0.063213
kl100000,0,finance,40,0.590634,0.555556,1.20924,1.4428,0.388889,0.0627144
kl100000,0,finance,45,0.58881,0.555556,1.17468,1.43197,0.388889,0.0627446
kl100000,0,finance,50,0.589886,0.555556,1.16076,1.43834,0.388889,0.0607843
kl100000,0,finance,55,0.586621,0.555556,1.13585,1.41909,0.388889,0.0603787
kl100000,0,finance,60,0.587706,0.555556,1.14022,1.42545,0.388889,0.0607462
kl100000,1,general,0,0.83448,0.777778,5.14886,5.04156,0.777778,0.132624
kl100000,1,general,5,0.939902,0.944444,6.97286,15.6395,0.888889,0.147024
kl100000,1,general,10,0.991507,1,9.82717,116.748,0.944444,0.16334
kl100000,1,general,15,0.954313,0.944444,9.71174,20.8879,0.944444,0.154576
kl100000,1,general,20,0.952475,0.944444,9.75264,20.0414,0.944444,0.156606
kl100000,1,general,25,0.958779,0.944444,9.75781,23.2592,0.944444,0.147138
kl100000,1,general,30,0.951077,0.944444,9.61504,19.4404,0.944444,0.15093
kl100000,1,general,35,0.965842,0.944444,9.5875,28.2759,0.944444,0.1499
kl100000,1,general,40,0.979697,1,9.56991,48.2539,0.944444,0.151147
kl100000,1,general,45,0.963564,0.944444,9.35415,26.4455,0.944444,0.149965
kl100000,1,general,50,0.95468,0.944444,9.32117,21.0655,0.944444,0.153878
kl100000,1,general,55,0.958063,0.944444,9.28524,22.8453,0.944444,0.152457
kl100000,1,general,60,0.960592,0.944444,9.29234,24.3759,0.944444,0.151333
kl100000,1,finance,0,0.192066,0.166667,-3.26463,0.237725,0.0555556,0.0557617
kl100000,1,finance,5,0.24255,0.222222,-2.48635,0.320219,0.111111,0.0636092
kl100000,1,finance,10,0.513809,0.444444,0.569998,1.05681,0.388889,0.0754914
kl100000,1,finance,15,0.580521,0.611111,1.25611,1.38391,0.388889,0.0756673
kl100000,1,finance,20,0.585752,0.611111,1.27196,1.41401,0.388889,0.0719491
kl100000,1,finance,25,0.588263,0.611111,1.24451,1.42874,0.388889,0.0708577
kl100000,1,finance,30,0.59185,0.611111,1.26131,1.45008,0.388889,0.0706102
kl100000,1,finance,35,0.591134,0.611111,1.22222,1.44579,0.388889,0.067188
kl100000,1,finance,40,0.59097,0.611111,1.19093,1.44481,0.388889,0.0668441
kl100000,1,finance,45,0.585941,0.611111,1.14774,1.41512,0.388889,0.0667306
kl100000,1,finance,50,0.587041,0.611111,1.14002,1.42155,0.388889,0.0670566
kl100000,1,finance,55,0.58628,0.611111,1.1169,1.41709,0.333333,0.0646609
kl100000,1,finance,60,0.585176,0.611111,1.12884,1.41066,0.333333,0.0662558
